session_id,customer_id,session_date,device_type,traffic_source
103,298,2024-09-18,Tablet,Google Ads
104,2211,2024-11-03,Desktop,Google Ads
105,898,2024-11-27,Mobile,Google Ads
106,461,2024-01-29,Desktop,Organic
107,1881,2024-05-25,Desktop,Google Ads
108,2636,2024-12-01,Mobile,Facebook Ads
109,1037,2024-12-23,Mobile,Facebook Ads
110,2760,2024-04-27,Desktop,Facebook Ads
111,1925,2024-07-26,Desktop,Organic
112,264,2024-12-21,Tablet,Google Ads
113,311,2024-06-18,Desktop,Organic
114,1117,2024-10-17,Mobile,Google Ads
115,2782,2024-12-17,Desktop,Facebook Ads
116,2152,2024-06-30,Tablet,Organic
117,1666,2024-02-06,Mobile,Facebook Ads
118,1229,2024-02-15,Mobile,Organic
119,45,2024-12-14,Desktop,Organic
120,2099,2024-09-29,Tablet,Google Ads
121,2674,2024-09-23,Mobile,Google Ads
122,1223,2024-08-03,Tablet,Organic
123,983,2024-06-06,Mobile,Facebook Ads
124,656,2024-03-25,Desktop,Google Ads
125,1336,2024-07-07,Mobile,Google Ads
126,778,2024-12-16,Desktop,Facebook Ads
127,949,2024-10-15,Mobile,Facebook Ads
128,2288,2024-10-01,Desktop,Google Ads
129,2954,2024-01-23,Mobile,Organic
130,1899,2024-03-14,Mobile,Google Ads
131,2421,2024-02-06,Tablet,Google Ads
132,971,2024-01-21,Mobile,Facebook Ads
133,1012,2024-08-19,Desktop,Organic
134,697,2024-01-05,Mobile,Google Ads
135,1863,2024-04-08,Tablet,Facebook Ads
136,899,2024-10-24,Desktop,Facebook Ads
137,1285,2024-10-05,Desktop,Google Ads
138,2733,2024-06-26,Desktop,Google Ads
139,2354,2024-05-31,Mobile,Organic
140,82,2024-12-06,Mobile,Facebook Ads
141,1938,2024-08-08,Desktop,Organic
142,1877,2024-10-27,Tablet,Google Ads
143,334,2024-10-01,Desktop,Google Ads
144,592,2024-09-15,Desktop,Google Ads
145,1800,2024-01-25,Mobile,Google Ads
146,1328,2024-01-17,Tablet,Google Ads
147,1304,2024-07-05,Tablet,Google Ads
148,2814,2024-11-20,Tablet,Facebook Ads
149,1032,2024-01-24,Desktop,Facebook Ads
150,2836,2024-04-24,Mobile,Facebook Ads
151,2430,2024-07-27,Tablet,Facebook Ads
152,2930,2024-09-01,Desktop,Organic
153,1111,2024-07-10,Tablet,Facebook Ads
154,124,2024-07-14,Mobile,Organic
155,2244,2024-03-31,Tablet,Facebook Ads
156,2030,2024-04-19,Desktop,Organic
157,117,2024-10-08,Mobile,Facebook Ads
158,639,2024-02-29,Desktop,Facebook Ads
159,737,2024-08-11,Tablet,Facebook Ads
160,1582,2024-12-10,Tablet,Google Ads
161,743,2024-12-18,Mobile,Organic
162,693,2024-05-15,Tablet,Google Ads
163,2678,2024-01-31,Mobile,Organic
164,2221,2024-07-22,Mobile,Google Ads
165,1193,2024-12-17,Mobile,Facebook Ads
166,2583,2024-01-02,Tablet,Google Ads
167,1652,2024-12-04,Tablet,Google Ads
168,1360,2024-10-21,Tablet,Google Ads
169,980,2024-11-07,Desktop,Organic
170,316,2024-11-15,Tablet,Google Ads
171,773,2024-04-27,Tablet,Organic
172,1218,2024-05-22,Desktop,Organic
173,2479,2024-09-01,Mobile,Organic
174,2831,2024-06-02,Tablet,Facebook Ads
175,1032,2024-08-01,Mobile,Google Ads
176,1161,2024-01-08,Mobile,Facebook Ads
177,1058,2024-03-27,Desktop,Facebook Ads
178,2659,2024-12-16,Mobile,Organic
179,884,2024-07-26,Desktop,Facebook Ads
180,2934,2024-12-03,Tablet,Facebook Ads
181,391,2024-05-27,Mobile,Organic
182,256,2024-01-28,Desktop,Organic
183,2402,2024-08-13,Desktop,Facebook Ads
184,1089,2024-08-13,Desktop,Organic
185,161,2024-03-08,Mobile,Google Ads
186,88,2024-07-21,Mobile,Google Ads
187,108,2024-09-13,Tablet,Google Ads
188,1716,2024-06-15,Tablet,Organic
189,2968,2024-03-08,Tablet,Google Ads
190,397,2024-10-24,Tablet,Facebook Ads
191,2052,2024-01-27,Tablet,Google Ads
192,1798,2024-01-06,Desktop,Facebook Ads
193,255,2024-03-17,Mobile,Facebook Ads
194,74,2024-04-30,Tablet,Google Ads
195,1893,2024-08-15,Desktop,Organic
196,2452,2024-07-13,Mobile,Facebook Ads
197,925,2024-08-15,Mobile,Google Ads
198,2139,2024-06-10,Tablet,Facebook Ads
199,366,2024-02-01,Tablet,Facebook Ads
200,147,2024-12-31,Desktop,Google Ads
201,2276,2024-07-09,Mobile,Facebook Ads
202,277,2024-10-21,Tablet,Facebook Ads
203,1593,2024-12-19,Mobile,Organic
204,2034,2024-08-11,Tablet,Organic
205,586,2024-02-26,Mobile,Organic
206,1312,2024-11-04,Desktop,Facebook Ads
207,1979,2024-02-17,Desktop,Google Ads
208,1927,2024-08-02,Desktop,Google Ads
209,1763,2024-10-26,Tablet,Organic
210,2922,2024-12-23,Tablet,Facebook Ads
211,111,2024-03-12,Desktop,Facebook Ads
212,2218,2024-05-10,Tablet,Facebook Ads
213,1895,2024-05-12,Desktop,Organic
214,550,2024-04-22,Tablet,Facebook Ads
215,376,2024-10-10,Tablet,Google Ads
216,1672,2024-12-26,Desktop,Facebook Ads
217,369,2024-10-10,Desktop,Organic
218,1244,2024-01-19,Tablet,Organic
219,589,2024-07-15,Mobile,Google Ads
220,2323,2024-07-19,Desktop,Google Ads
221,1007,2024-06-19,Tablet,Google Ads
222,2769,2024-11-04,Desktop,Organic
223,2280,2024-06-24,Desktop,Google Ads
224,2839,2024-09-12,Mobile,Organic
225,14,2024-05-24,Mobile,Facebook Ads
226,379,2024-07-12,Desktop,Organic
227,1781,2024-01-18,Tablet,Google Ads
228,2346,2024-02-03,Mobile,Google Ads
229,279,2024-09-16,Mobile,Organic
230,2509,2024-09-27,Desktop,Google Ads
231,2351,2024-03-17,Tablet,Google Ads
232,1329,2024-08-08,Desktop,Facebook Ads
233,463,2024-07-16,Mobile,Facebook Ads
234,2745,2024-01-09,Desktop,Google Ads
235,2300,2024-02-06,Mobile,Google Ads
236,234,2024-07-04,Desktop,Facebook Ads
237,2922,2024-06-03,Desktop,Facebook Ads
238,307,2024-11-26,Desktop,Facebook Ads
239,1167,2024-02-03,Desktop,Google Ads
240,2936,2024-12-03,Mobile,Organic
241,2470,2024-09-26,Tablet,Organic
242,1277,2024-03-07,Desktop,Facebook Ads
243,656,2024-12-31,Desktop,Organic
244,2673,2024-02-11,Tablet,Google Ads
245,870,2024-05-02,Tablet,Facebook Ads
246,71,2024-04-15,Desktop,Google Ads
247,160,2024-07-16,Desktop,Google Ads
248,2072,2024-03-22,Tablet,Facebook Ads
249,2843,2024-11-04,Mobile,Facebook Ads
250,1918,2024-04-26,Tablet,Facebook Ads
251,1785,2024-07-07,Tablet,Google Ads
252,2583,2024-12-19,Mobile,Google Ads
253,89,2024-02-22,Tablet,Google Ads
254,1516,2024-06-06,Desktop,Organic
255,518,2024-09-02,Mobile,Google Ads
256,26,2024-05-19,Desktop,Facebook Ads
257,1074,2024-07-16,Tablet,Facebook Ads
258,327,2024-12-21,Desktop,Organic
259,2430,2024-01-12,Tablet,Facebook Ads
260,1479,2024-06-12,Desktop,Google Ads
261,1534,2024-03-10,Mobile,Facebook Ads
262,2894,2024-11-14,Mobile,Organic
263,2087,2024-03-27,Mobile,Organic
264,374,2024-05-12,Desktop,Facebook Ads
265,606,2024-04-13,Mobile,Facebook Ads
266,1767,2024-09-27,Desktop,Organic
267,778,2024-04-18,Tablet,Organic
268,1425,2024-01-06,Mobile,Organic
269,931,2024-11-17,Desktop,Organic
270,2749,2024-03-04,Tablet,Google Ads
271,2018,2024-05-04,Desktop,Organic
272,1723,2024-12-22,Mobile,Google Ads
273,2542,2024-12-18,Desktop,Google Ads
274,511,2024-04-02,Desktop,Google Ads
275,2975,2024-07-08,Tablet,Organic
276,313,2024-03-18,Desktop,Organic
277,2116,2024-02-23,Tablet,Organic
278,2250,2024-10-20,Desktop,Google Ads
279,2079,2024-01-26,Mobile,Google Ads
280,874,2024-10-18,Desktop,Organic
281,2463,2024-01-24,Tablet,Organic
282,2115,2024-04-06,Tablet,Google Ads
283,2582,2024-02-12,Tablet,Google Ads
284,1732,2024-10-14,Desktop,Organic
285,2090,2024-01-10,Desktop,Google Ads
286,1668,2024-10-15,Tablet,Google Ads
287,2605,2024-09-16,Desktop,Google Ads
288,1090,2024-03-02,Desktop,Organic
289,2640,2024-06-11,Tablet,Facebook Ads
290,2222,2024-04-01,Desktop,Facebook Ads
291,2941,2024-09-15,Tablet,Organic
292,2224,2024-07-04,Tablet,Facebook Ads
293,2700,2024-09-05,Tablet,Facebook Ads
294,149,2024-09-13,Mobile,Facebook Ads
295,2028,2024-10-11,Tablet,Organic
296,1145,2024-04-01,Mobile,Facebook Ads
297,1120,2024-05-13,Desktop,Organic
298,1411,2024-12-01,Tablet,Google Ads
299,2956,2024-11-20,Mobile,Facebook Ads
300,1120,2024-09-20,Desktop,Google Ads
301,761,2024-10-25,Tablet,Facebook Ads
302,595,2024-01-15,Tablet,Organic
303,1527,2024-09-05,Mobile,Organic
304,2624,2024-03-19,Mobile,Google Ads
305,2263,2024-10-25,Desktop,Organic
306,1900,2024-06-03,Mobile,Google Ads
307,2254,2024-10-22,Desktop,Facebook Ads
308,2652,2024-04-07,Tablet,Google Ads
309,1376,2024-02-25,Tablet,Facebook Ads
310,2087,2024-07-01,Mobile,Facebook Ads
311,2150,2024-12-12,Tablet,Organic
312,222,2024-05-19,Desktop,Facebook Ads
313,1033,2024-10-02,Mobile,Facebook Ads
314,990,2024-06-15,Mobile,Facebook Ads
315,772,2024-10-17,Tablet,Organic
316,779,2024-08-01,Desktop,Facebook Ads
317,2796,2024-06-25,Mobile,Organic
318,2743,2024-09-16,Desktop,Organic
319,1472,2024-08-30,Tablet,Facebook Ads
320,356,2024-07-27,Tablet,Facebook Ads
321,2704,2024-06-05,Mobile,Facebook Ads
322,2128,2024-07-10,Tablet,Facebook Ads
323,241,2024-10-26,Tablet,Google Ads
324,2918,2024-11-06,Mobile,Facebook Ads
325,202,2024-03-03,Mobile,Organic
326,477,2024-07-15,Desktop,Facebook Ads
327,721,2024-01-08,Desktop,Google Ads
328,2624,2024-04-19,Mobile,Google Ads
329,48,2024-08-01,Mobile,Facebook Ads
330,1372,2024-09-23,Mobile,Organic
331,2406,2024-04-01,Mobile,Organic
332,2752,2024-10-31,Mobile,Facebook Ads
333,1782,2024-04-19,Desktop,Google Ads
334,2188,2024-05-18,Tablet,Facebook Ads
335,2695,2024-09-30,Tablet,Google Ads
336,1618,2024-12-13,Tablet,Organic
337,448,2024-09-29,Mobile,Facebook Ads
338,1801,2024-06-14,Tablet,Facebook Ads
339,1650,2024-08-13,Tablet,Organic
340,2669,2024-08-09,Desktop,Facebook Ads
341,2860,2024-11-02,Tablet,Organic
342,149,2024-11-21,Tablet,Google Ads
343,1952,2024-12-03,Desktop,Google Ads
344,905,2024-01-25,Mobile,Facebook Ads
345,2867,2024-11-11,Desktop,Facebook Ads
346,1127,2024-08-27,Mobile,Facebook Ads
347,881,2024-05-08,Desktop,Facebook Ads
348,2321,2024-01-04,Tablet,Google Ads
349,220,2024-08-21,Mobile,Facebook Ads
350,122,2024-06-21,Desktop,Google Ads
351,818,2024-12-10,Desktop,Organic
352,932,2024-05-28,Tablet,Organic
353,2971,2024-08-28,Desktop,Google Ads
354,2866,2024-09-06,Mobile,Google Ads
355,2849,2024-08-04,Desktop,Organic
356,2075,2024-09-13,Mobile,Organic
357,83,2024-05-11,Desktop,Facebook Ads
358,2780,2024-03-04,Desktop,Organic
359,2133,2024-06-18,Mobile,Organic
360,851,2024-07-14,Desktop,Organic
361,189,2024-02-12,Mobile,Google Ads
362,2893,2024-09-23,Tablet,Facebook Ads
363,1941,2024-08-28,Tablet,Google Ads
364,1153,2024-10-07,Mobile,Organic
365,1523,2024-01-17,Mobile,Organic
366,2855,2024-01-10,Desktop,Organic
367,1719,2024-09-22,Mobile,Google Ads
368,1925,2024-03-29,Desktop,Facebook Ads
369,1243,2024-04-26,Desktop,Organic
370,2236,2024-09-17,Desktop,Facebook Ads
371,1796,2024-10-16,Tablet,Facebook Ads
372,443,2024-05-11,Tablet,Organic
373,2821,2024-09-14,Desktop,Facebook Ads
374,2650,2024-02-10,Mobile,Google Ads
375,793,2024-02-22,Desktop,Google Ads
376,2154,2024-05-18,Desktop,Google Ads
377,2296,2024-10-02,Desktop,Facebook Ads
378,2862,2024-07-31,Desktop,Facebook Ads
379,2442,2024-04-17,Mobile,Facebook Ads
380,1521,2024-04-29,Mobile,Google Ads
381,2180,2024-02-23,Tablet,Google Ads
382,2609,2024-07-24,Tablet,Organic
383,1148,2024-06-11,Mobile,Organic
384,1170,2024-08-26,Mobile,Facebook Ads
385,1275,2024-02-26,Tablet,Facebook Ads
386,1837,2024-04-04,Mobile,Google Ads
387,2440,2024-08-21,Desktop,Organic
388,2665,2024-12-18,Tablet,Google Ads
389,1812,2024-01-14,Desktop,Organic
390,779,2024-05-06,Mobile,Facebook Ads
391,423,2024-09-19,Tablet,Organic
392,1359,2024-02-25,Mobile,Facebook Ads
393,899,2024-03-22,Mobile,Organic
394,2800,2024-10-28,Tablet,Facebook Ads
395,2720,2024-08-19,Tablet,Organic
396,2778,2024-05-18,Desktop,Facebook Ads
397,1378,2024-12-24,Tablet,Google Ads
398,344,2024-07-30,Desktop,Facebook Ads
399,798,2024-05-18,Desktop,Organic
400,2309,2024-07-07,Desktop,Facebook Ads
401,523,2024-05-04,Tablet,Facebook Ads
402,1314,2024-08-19,Mobile,Facebook Ads
403,1172,2024-09-13,Desktop,Organic
404,615,2024-05-24,Desktop,Organic
405,2445,2024-12-16,Tablet,Facebook Ads
406,2852,2024-10-29,Tablet,Google Ads
407,1881,2024-06-19,Mobile,Google Ads
408,283,2024-01-03,Tablet,Google Ads
409,2935,2024-07-26,Mobile,Google Ads
410,2815,2024-07-18,Mobile,Google Ads
411,2382,2024-04-14,Tablet,Google Ads
412,2022,2024-04-05,Tablet,Google Ads
413,1592,2024-04-09,Tablet,Google Ads
414,2884,2024-01-17,Mobile,Google Ads
415,2447,2024-09-22,Desktop,Google Ads
416,1995,2024-10-17,Tablet,Google Ads
417,2455,2024-09-30,Tablet,Organic
418,2048,2024-01-09,Tablet,Google Ads
419,2096,2024-10-22,Desktop,Google Ads
420,2132,2024-05-04,Desktop,Organic
421,776,2024-02-25,Mobile,Organic
422,23,2024-05-23,Tablet,Google Ads
423,335,2024-04-07,Tablet,Facebook Ads
424,614,2024-12-14,Tablet,Google Ads
425,1069,2024-07-12,Mobile,Facebook Ads
426,1034,2024-05-26,Mobile,Facebook Ads
427,792,2024-12-19,Tablet,Google Ads
428,593,2024-04-01,Tablet,Google Ads
429,93,2024-06-17,Mobile,Facebook Ads
430,1565,2024-11-28,Mobile,Google Ads
431,2133,2024-09-24,Tablet,Facebook Ads
432,2277,2024-09-13,Desktop,Facebook Ads
433,1357,2024-10-22,Mobile,Facebook Ads
434,742,2024-05-26,Desktop,Organic
435,2184,2024-03-06,Tablet,Google Ads
436,920,2024-03-17,Mobile,Organic
437,1855,2024-12-04,Desktop,Facebook Ads
438,2900,2024-03-30,Mobile,Organic
439,2062,2024-12-12,Tablet,Google Ads
440,503,2024-01-31,Desktop,Google Ads
441,730,2024-08-24,Tablet,Facebook Ads
442,643,2024-11-07,Tablet,Google Ads
443,131,2024-05-31,Tablet,Google Ads
444,2486,2024-07-25,Mobile,Facebook Ads
445,913,2024-09-08,Tablet,Google Ads
446,958,2024-06-21,Tablet,Facebook Ads
447,447,2024-06-10,Desktop,Organic
448,1986,2024-01-07,Desktop,Organic
449,2337,2024-06-11,Tablet,Google Ads
450,196,2024-11-20,Mobile,Facebook Ads
451,727,2024-01-03,Desktop,Organic
452,2032,2024-05-17,Tablet,Organic
453,692,2024-04-28,Tablet,Google Ads
454,970,2024-02-13,Tablet,Organic
455,2190,2024-08-25,Desktop,Organic
456,2202,2024-07-17,Mobile,Organic
457,2816,2024-11-11,Mobile,Facebook Ads
458,2345,2024-03-16,Desktop,Google Ads
459,1338,2024-07-04,Mobile,Organic
460,2570,2024-08-12,Tablet,Organic
461,31,2024-03-30,Desktop,Google Ads
462,2992,2024-12-28,Tablet,Organic
463,525,2024-12-02,Mobile,Facebook Ads
464,2944,2024-12-14,Tablet,Organic
465,162,2024-04-22,Tablet,Facebook Ads
466,1,2024-02-21,Tablet,Facebook Ads
467,2689,2024-06-11,Mobile,Organic
468,497,2024-05-23,Tablet,Organic
469,1044,2024-07-27,Desktop,Facebook Ads
470,404,2024-05-20,Mobile,Organic
471,2086,2024-03-04,Desktop,Organic
472,1178,2024-03-28,Desktop,Organic
473,2917,2024-12-09,Desktop,Google Ads
474,1527,2024-10-22,Desktop,Organic
475,521,2024-01-14,Desktop,Organic
476,648,2024-04-09,Tablet,Organic
477,2331,2024-04-21,Tablet,Google Ads
478,557,2024-12-15,Tablet,Google Ads
479,2078,2024-06-10,Desktop,Facebook Ads
480,2028,2024-04-05,Desktop,Facebook Ads
481,705,2024-01-19,Desktop,Organic
482,1101,2024-12-31,Tablet,Organic
483,382,2024-07-19,Desktop,Google Ads
484,2457,2024-02-13,Tablet,Facebook Ads
485,2796,2024-04-24,Desktop,Organic
486,1347,2024-01-01,Tablet,Facebook Ads
487,2628,2024-09-14,Mobile,Google Ads
488,2712,2024-04-01,Tablet,Organic
489,2675,2024-05-30,Desktop,Google Ads
490,494,2024-06-14,Tablet,Google Ads
491,2653,2024-11-12,Mobile,Google Ads
492,501,2024-12-27,Tablet,Google Ads
493,2484,2024-08-27,Tablet,Organic
494,1666,2024-09-05,Desktop,Organic
495,435,2024-12-06,Tablet,Google Ads
496,443,2024-02-22,Mobile,Facebook Ads
497,2997,2024-04-17,Desktop,Facebook Ads
498,1827,2024-12-19,Desktop,Organic
499,1198,2024-12-07,Desktop,Organic
500,2762,2024-06-03,Tablet,Google Ads
501,113,2024-03-11,Mobile,Facebook Ads
502,1426,2024-12-06,Mobile,Organic
503,2563,2024-11-27,Desktop,Google Ads
504,2524,2024-01-14,Tablet,Organic
505,723,2024-11-19,Tablet,Facebook Ads
506,1776,2024-04-07,Mobile,Organic
507,2825,2024-11-27,Tablet,Google Ads
508,2499,2024-04-14,Mobile,Organic
509,2614,2024-07-10,Tablet,Google Ads
510,211,2024-03-05,Tablet,Google Ads
511,1552,2024-06-10,Mobile,Facebook Ads
512,2993,2024-12-18,Mobile,Google Ads
513,1744,2024-02-18,Mobile,Organic
514,1901,2024-03-13,Tablet,Facebook Ads
515,2889,2024-05-18,Desktop,Organic
516,90,2024-04-26,Mobile,Google Ads
517,535,2024-08-18,Mobile,Organic
518,2657,2024-05-07,Tablet,Organic
519,2581,2024-06-07,Tablet,Facebook Ads
520,1877,2024-01-23,Tablet,Organic
521,1623,2024-01-09,Tablet,Facebook Ads
522,2088,2024-10-07,Mobile,Google Ads
523,475,2024-08-11,Tablet,Organic
524,2915,2024-02-01,Tablet,Organic
525,578,2024-12-21,Tablet,Google Ads
526,1184,2024-06-25,Desktop,Facebook Ads
527,580,2024-01-08,Mobile,Organic
528,1599,2024-08-07,Tablet,Google Ads
529,1310,2024-05-10,Tablet,Organic
530,1308,2024-02-21,Mobile,Google Ads
531,533,2024-11-30,Desktop,Facebook Ads
532,1073,2024-10-03,Tablet,Organic
533,74,2024-11-14,Mobile,Organic
534,1362,2024-05-28,Tablet,Google Ads
535,2226,2024-11-08,Desktop,Google Ads
536,2250,2024-08-12,Desktop,Facebook Ads
537,146,2024-08-30,Mobile,Google Ads
538,1234,2024-08-10,Tablet,Facebook Ads
539,394,2024-12-12,Mobile,Organic
540,508,2024-10-24,Desktop,Facebook Ads
541,2103,2024-10-15,Desktop,Facebook Ads
542,913,2024-05-04,Mobile,Facebook Ads
543,787,2024-04-25,Tablet,Facebook Ads
544,86,2024-04-16,Tablet,Google Ads
545,1711,2024-03-11,Tablet,Facebook Ads
546,2089,2024-09-15,Tablet,Organic
547,483,2024-04-17,Desktop,Google Ads
548,205,2024-03-31,Tablet,Facebook Ads
549,626,2024-12-18,Desktop,Google Ads
550,1639,2024-07-04,Mobile,Facebook Ads
551,2145,2024-11-10,Desktop,Organic
552,1047,2024-05-12,Desktop,Facebook Ads
553,1468,2024-10-02,Mobile,Facebook Ads
554,1494,2024-11-11,Desktop,Google Ads
555,1053,2024-08-29,Tablet,Organic
556,1416,2024-11-06,Desktop,Facebook Ads
557,2899,2024-05-31,Tablet,Google Ads
558,1233,2024-12-06,Tablet,Google Ads
559,2999,2024-10-15,Desktop,Google Ads
560,2429,2024-01-09,Mobile,Facebook Ads
561,1497,2024-06-12,Mobile,Google Ads
562,748,2024-02-14,Tablet,Organic
563,401,2024-02-07,Mobile,Google Ads
564,1167,2024-10-19,Tablet,Facebook Ads
565,539,2024-05-18,Desktop,Google Ads
566,577,2024-05-01,Tablet,Google Ads
567,1373,2024-10-20,Tablet,Google Ads
568,1213,2024-08-23,Desktop,Facebook Ads
569,1681,2024-11-03,Tablet,Organic
570,1140,2024-01-02,Tablet,Facebook Ads
571,1398,2024-11-27,Desktop,Google Ads
572,1809,2024-06-04,Tablet,Google Ads
573,1556,2024-12-11,Tablet,Facebook Ads
574,1779,2024-02-04,Desktop,Google Ads
575,691,2024-10-10,Tablet,Google Ads
576,55,2024-02-02,Tablet,Facebook Ads
577,659,2024-10-15,Mobile,Organic
578,429,2024-03-25,Desktop,Google Ads
579,2982,2024-10-29,Mobile,Facebook Ads
580,1003,2024-03-22,Desktop,Organic
581,1541,2024-08-10,Mobile,Facebook Ads
582,913,2024-07-18,Tablet,Facebook Ads
583,2,2024-04-23,Desktop,Google Ads
584,2782,2024-05-31,Desktop,Organic
585,2380,2024-06-12,Desktop,Organic
586,1624,2024-06-27,Mobile,Organic
587,2730,2024-08-22,Tablet,Facebook Ads
588,2942,2024-06-17,Mobile,Google Ads
589,376,2024-05-26,Mobile,Facebook Ads
590,863,2024-08-14,Mobile,Google Ads
591,2827,2024-03-15,Tablet,Organic
592,2522,2024-12-13,Mobile,Organic
593,1944,2024-07-07,Mobile,Facebook Ads
594,416,2024-12-24,Tablet,Facebook Ads
595,1735,2024-03-03,Mobile,Facebook Ads
596,1611,2024-12-17,Mobile,Facebook Ads
597,1270,2024-07-24,Desktop,Facebook Ads
598,998,2024-04-18,Mobile,Facebook Ads
599,2084,2024-06-23,Mobile,Organic
600,475,2024-08-17,Desktop,Organic
601,2337,2024-08-04,Mobile,Facebook Ads
602,1599,2024-10-19,Tablet,Organic
603,753,2024-11-11,Mobile,Google Ads
604,1666,2024-11-25,Desktop,Organic
605,1161,2024-06-08,Desktop,Facebook Ads
606,706,2024-11-03,Tablet,Facebook Ads
607,1412,2024-02-12,Mobile,Organic
608,2158,2024-12-31,Desktop,Facebook Ads
609,1166,2024-11-02,Mobile,Facebook Ads
610,1187,2024-11-18,Desktop,Facebook Ads
611,915,2024-04-20,Tablet,Organic
612,229,2024-07-31,Desktop,Organic
613,2203,2024-08-28,Mobile,Facebook Ads
614,2800,2024-07-15,Desktop,Facebook Ads
